[CUDA Bandwidth Test] - Starting...
Running on...

 Device 0: Quadro K420
 Shmoo Mode

.................................................................................
 Host to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				129.2
   2048				766.0
   3072				1140.6
   4096				1514.6
   5120				1920.0
   6144				2270.3
   7168				2540.4
   8192				2703.9
   9216				2895.3
   10240			3070.0
   11264			3269.8
   12288			3402.3
   13312			3569.9
   14336			3678.0
   15360			3779.6
   16384			3921.9
   17408			3961.0
   18432			4045.6
   19456			4112.1
   20480			4187.3
   22528			4259.1
   24576			4399.1
   26624			4509.9
   28672			4586.0
   30720			4670.0
   32768			4741.1
   34816			4807.0
   36864			4859.6
   38912			4843.0
   40960			4969.0
   43008			4970.8
   45056			5094.7
   47104			5097.5
   49152			5128.2
   51200			5159.1
   61440			5295.4
   71680			5384.7
   81920			5493.8
   92160			5554.1
   102400			5608.5
   204800			5837.3
   307200			5949.7
   409600			5999.0
   512000			6026.8
   614400			6044.3
   716800			6056.2
   819200			6067.0
   921600			6073.9
   1024000			6050.6
   1126400			6058.3
   2174976			6031.2
   3223552			6064.9
   4272128			6084.5
   5320704			6095.7
   6369280			6103.3
   7417856			6107.7
   8466432			6112.9
   9515008			6115.6
   10563584			6117.1
   11612160			6119.1
   12660736			6121.5
   13709312			6121.5
   14757888			6123.3
   15806464			6124.1
   16855040			6125.6
   18952192			6127.5
   21049344			6128.5
   23146496			6128.9
   25243648			6130.3
   27340800			6131.5
   29437952			6131.5
   31535104			6132.4
   33632256			6132.9
   37826560			6133.7
   42020864			6134.1
   46215168			6134.8
   50409472			6135.3
   54603776			6135.6
   58798080			6135.8
   62992384			6136.0
   67186688			6136.2

.................................................................................
 Device to Host Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				469.7
   2048				1044.5
   3072				1528.9
   4096				2070.6
   5120				2556.0
   6144				3067.7
   7168				3315.9
   8192				3523.1
   9216				3723.2
   10240			3871.4
   11264			4024.2
   12288			4152.4
   13312			4276.3
   14336			4402.7
   15360			4503.7
   16384			4583.0
   17408			4657.6
   18432			4750.8
   19456			4740.5
   20480			4889.7
   22528			4999.6
   24576			5103.1
   26624			5276.0
   28672			5358.6
   30720			5416.6
   32768			5452.9
   34816			5529.5
   36864			5586.7
   38912			5623.7
   40960			5662.5
   43008			5706.0
   45056			5662.2
   47104			5764.8
   49152			5795.5
   51200			5816.3
   61440			5933.5
   71680			5990.4
   81920			6079.8
   92160			6128.7
   102400			6165.0
   204800			6358.6
   307200			6370.3
   409600			6413.3
   512000			6449.2
   614400			6466.9
   716800			6479.6
   819200			6488.2
   921600			6497.5
   1024000			6467.3
   1126400			6474.5
   2174976			6432.7
   3223552			6473.6
   4272128			6494.6
   5320704			6507.6
   6369280			6514.4
   7417856			6522.0
   8466432			6526.7
   9515008			6528.6
   10563584			6531.9
   11612160			6535.0
   12660736			6536.9
   13709312			6538.7
   14757888			6540.4
   15806464			6541.3
   16855040			6542.9
   18952192			6544.3
   21049344			6545.8
   23146496			6546.8
   25243648			6547.5
   27340800			6548.4
   29437952			6549.2
   31535104			6549.8
   33632256			6550.5
   37826560			6551.3
   42020864			6552.3
   46215168			6552.8
   50409472			6553.5
   54603776			6553.8
   58798080			6554.1
   62992384			6554.3
   67186688			6554.8

.................................................................................
 Device to Device Bandwidth, 1 Device(s)
 PINNED Memory Transfers
   Transfer Size (Bytes)	Bandwidth(MB/s)
   1024				485.2
   2048				930.4
   3072				1403.9
   4096				2049.9
   5120				2831.4
   6144				3627.4
   7168				3993.6
   8192				3928.3
   9216				4851.6
   10240			5450.4
   11264			5509.3
   12288			6275.6
   13312			6407.2
   14336			6691.6
   15360			6145.1
   16384			6438.7
   17408			7893.8
   18432			8361.2
   19456			8686.3
   20480			8802.2
   22528			8121.2
   24576			9108.0
   26624			10648.1
   28672			9959.6
   30720			9863.7
   32768			11113.0
   34816			12209.1
   36864			10866.9
   38912			11923.9
   40960			12895.2
   43008			13153.3
   45056			12137.0
   47104			13198.4
   49152			14152.3
   51200			13468.7
   61440			14104.1
   71680			15732.9
   81920			15354.4
   92160			16329.9
   102400			17402.2
   204800			13881.6
   307200			14440.6
   409600			14808.6
   512000			15062.6
   614400			15110.2
   716800			15237.4
   819200			15307.2
   921600			15373.5
   1024000			15430.2
   1126400			20180.1
   2174976			20700.8
   3223552			20852.5
   4272128			20998.9
   5320704			21030.3
   6369280			21027.9
   7417856			21079.1
   8466432			21029.2
   9515008			21124.3
   10563584			21147.9
   11612160			21156.8
   12660736			21149.3
   13709312			21125.2
   14757888			21151.7
   15806464			21120.0
   16855040			21179.4
   18952192			21193.8
   21049344			21187.8
   23146496			21136.3
   25243648			21174.6
   27340800			21197.2
   29437952			21199.6
   31535104			21205.1
   33632256			21210.2
   37826560			21167.1
   42020864			21226.0
   46215168			21210.8
   50409472			21232.3
   54603776			21191.3
   58798080			21205.2
   62992384			21237.1
   67186688			21170.6

Result = PASS

NOTE: The CUDA Samples are not meant for performance measurements. Results may vary when GPU Boost is enabled.
